Entity,Code,cases per million,is female leader
Turkey,TUR,976.1668338,
Turks and Caicos Islands,TCA,284.105584,
Uganda,UGA,1.202422334,
Ukraine,UKR,124.5948239,
United Arab Emirates,ARE,637.1835315,
United Kingdom,GBR,1682.482298,
United States,USA,2220.785866,
United States Virgin Islands,VIR,507.5510185,
Uruguay,URY,169.2706422,
Uzbekistan,UZB,44.66793484,
Vatican,VAT,9888.751545,
Venezuela,VEN,7.982854657,
Vietnam,VNM,2.835463508,
World,OWID_WRL,292.722632,
Yemen,YEM,0.033527831,
Zambia,ZMB,3.100529614,
Zimbabwe,ZWE,1.682037461,
